SHE,TYP,CAL,RAT,PRO,SOD,POT,NAM,VIT,WEI,COM,CUP,FIB,CAR,FAT,SUG
1,C,80,68.235885,2,0,95,Shredded Wheat,0,0.83,N,1,3,16,0,0
2,C,110,31.230054,2,70,40,Smacks,25,1,K,0.75,1,9,1,15
3,C,110,53.371007,3,170,90,Grape-Nuts,25,1,P,0.25,3,17,0,3
3,C,160,30.313351,3,150,160,Mueslix Crispy Blend,25,1.5,K,0.67,3,17,2,13
2,C,110,26.734515,2,180,55,Lucky Charms,25,1,G,1,0,12,1,12
1,C,100,49.787445,3,230,115,Wheat Chex,25,1,R,0.67,3,17,1,3
3,C,50,60.756112,1,0,15,Puffed Rice,0,0.5,Q,1,0,13,0,0
1,H,100,50.828392,5,0,110,Quaker Oatmeal,0,1,Q,0.67,2.7,,2,
2,H,100,64.533816,3,80,,Cream of Wheat (Quick),0,1,N,1,1,21,0,0
2,C,120,,1,220,45,Honey Graham Ohs,25,1,Q,1,1,12,2,11
3,C,130,37.038562,3,210,100,Basic 4,25,1.33,G,0.75,2,18,2,8
2,C,120,29.924285,2,190,40,Nut&Honey Crunch,25,1,K,0.67,0,15,1,9
1,C,110,50.764999,6,290,105,Cheerios,25,1,G,1.25,2,17,2,1
3,C,100,41.50354,3,320,45,Product 19,100,1,K,1,1,20,0,3
2,C,110,22.736446,1,180,55,Cocoa Puffs,25,1,G,1,0,12,1,13
3,C,110,46.895644,2,220,30,Crispix,25,1,K,1,1,21,0,3
3,C,120,45.811716,3,75,100,Great Grains Pecan,25,1,P,0.33,3,13,3,4
1,C,110,36.187559,2,200,60,Wheaties Honey Gold,25,1,G,0.75,1,16,1,8
3,C,150,34.139765,4,150,170,Muesli Raisins; Peaches; & Pecans,25,1,R,1,3,16,3,11
3,C,120,40.917047,3,160,200,Fruit & Fibre Dates; Walnuts; and Oats,25,1.25,P,0.67,5,12,2,10
